Latitude,Longitude,FacilityName,Street,City,County,State,ZIPCode,ParentName,StandardizedParentCompany,NAICS1
44.3208,-88.2089,FOX ENERGY CENTER,310 E FRONTAGE RD,KAUKAUNA,OUTAGAMIE,WI,54130,WEC ENERGY GROUP,WEC ENERGY GROUP,221112
44.28344,-88.24963,HEART OF THE VALLEY METRO SEWAGE DISTRICT,801 THILMANY RD,KAUKAUNA,OUTAGAMIE,WI,54130,NA,,221320
44.27622,-88.26695,KAUKAUNA ELECTRIC & WATER DEPARTMENT,777 ISLAND ST,KAUKAUNA,OUTAGAMIE,WI,54130,NA,,221119
45.085404,-87.688381,WISCONSIN PUBLIC SERVICE CORP  WEST MARINETTE,W1830 CLEVELAND AVE,PESHTIGO,MARINETTE,WI,54157,WPS RESOURCES CORP,,221112
44.0822,-87.65784,MANITOWOC PUBLIC UTILITIES,1303 S 8TH ST,MANITOWOC,MANITOWOC,WI,54220,CITY OF MANITOWOC,CITY OF MANITOWOC,221112
44.2694,-87.53708,NEXTERA ENERGY POINT BEACH LLC,6610 NUCLEAR RD,TWO RIVERS,MANITOWOC,WI,54241,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221113
44.53348,-87.99401,GREEN BAY METROPOLITAN SEWERAGE DISTRICT,2231 NORTH QUINCY ST,GREEN BAY,BROWN,WI,54302,NA,,221320
44.54119,-88.01279,PULLIAM POWER PLANT,1530 N BYLSBY AVE,GREEN BAY,BROWN,WI,54303,WEC ENERGY GROUP,WEC ENERGY GROUP,221112
44.858039,-89.644665,WESTON POWER PLANT,2491 OLD HIGHWAY 51,MOSINEE,MARATHON,WI,54455,WEC ENERGY GROUP,WEC ENERGY GROUP,221112
44.88913,-89.6248,DOMTAR PAPER CO LLC,200 N GRAND AVE,ROTHSCHILD,MARATHON,WI,54474,DOMTAR CORP,DOMTAR CORP,221117
44.3881,-89.80698,WISCONSIN RAPIDS WATER WORKS & LIGHTING COMMISSION,221 16TH ST S,WISCONSIN RAPIDS,WOOD,WI,54495,NA,,221310
43.8291,-91.2597,FRENCH ISLAND PLANT,200 S BAINBRIDGE ST,LA CROSSE,LA CROSSE,WI,54603,XCEL ENERGY,XCEL ENERGY,221117
44.307972,-91.910973,DAIRYLAND POWER COOPERATIVE-ALMA SITE,500 OLD STH 35,ALMA,BUFFALO,WI,54610,DAIRYLAND POWER COOPERATIVE,DAIRYLAND POWER COOPERATIVE,221112
43.559136,-91.231819,DAIRYLAND POWER COOPERATIVE - GENOA SITE,S4651 STATE HIGHWAY 35,GENOA,VERNON,WI,54632,DAIRYLAND POWER COOPERATIVE,DAIRYLAND POWER COOPERATIVE,221112
46.5873,-90.9014,XCEL ENERGY BAY FRONT PLANT,122 N 14TH AVE W,ASHLAND,ASHLAND,WI,54806,XCEL ENERGY,XCEL ENERGY,221112
43.735656,-88.492331,SOUTH FOND DU LAC ENERGY CENTER,N5356 RIVER RD,FOND DU LAC,FOND DU LAC,WI,54937,NA,NA,221112
44.2001,-88.4584,MENASHA UTILITIES,198 RIVER ST,MENASHA,WINNEBAGO,WI,54952,NA,,221112
44.17846,-88.44789,NEENAH WATER FILTRATION PLANT,234 S PARK AVE,NEENAH,WINNEBAGO,WI,54956,NA,NA,221310
45.029468,-92.779018,XCEL ENERGY   A S KING GENERATING PLANT,1103 KING RD,BAYPORT,WASHINGTON,MN,55003,XCEL ENERGY,XCEL ENERGY,221112
45.6017,-93.20816,GREAT RIVER ENERGY CAMBRIDGE,2438 349TH AVE,CAMBRIDGE,ISANTI,MN,55008,NA,,221112
44.7955,-92.9101,LSP - COTTAGE GROVE LP,9525 105TH ST CT S,COTTAGE GROVE,WASHINGTON,MN,55016,TYR ENERGY LLC,TYR ENERGY LLC,221112
44.3353,-93.2894,MINNESOTA MUNICIPAL POWER AGENCY FARIBAULT ENERGY PARK,4100 PARK AVE,FARIBAULT,RICE,MN,55021,MINNESOTA MUNICIPAL POWER AGENCY,MINNESOTA MUNICIPAL POWER AGENCY,221112
44.7815,-93.0419,INVER HILLS GENERATING PLANT,3185 117TH ST E,INVER GROVE HEIGHTS,DAKOTA,MN,55077,XCEL ENERGY,,221122
44.935625,-93.109747,EXCEL ENERGY HIGH BRIDGE GENERATING PLANT,501 SHEPARD RD,SAINT PAUL,RAMSEY,MN,55102,XCEL ENERGY,,221112
44.995272,-93.102822,SAINT PAUL REGIONAL WATER SERVICES,1900 RICE ST,SAINT PAUL,RAMSEY,MN,55113,NA,NA,221310
45.3789,-93.8976,XCEL ENERGY SHERBURNE COUNTY GENERATING PLANT,13999 INDUSTRIAL BLVD,BECKER,SHERBURNE,MN,55308,XCEL ENERGY,XCEL ENERGY,221112
44.810639,-93.250252,XCEL ENERGY BLACK DOG GENERATING PLANT,1400 E BLACK DOG RD,BURNSVILLE,DAKOTA,MN,55337,XCEL ENERGY,XCEL ENERGY,221112
44.7855,-93.4315,BLUE LAKE GENERATING PLANT,1200 70TH ST S,SHAKOPEE,SCOTT,MN,55379,XCEL ENERGY,,221119
44.794944,-93.538759,KODA ENERGY LLC,975 3RD AVE W,SHAKOPEE,SCOTT,MN,55379,RAHR MALTING CO,RAHR MALTING CO,221118
45.0201,-93.2744,XCEL ENERGY RIVERSIDE GENERATING PLANT,3100 MARSHALL ST NE,MINNEAPOLIS,HENNEPIN,MN,55418,XCEL ENERGY,,221112
47.5308,-90.9116,TACONITE HARBOR ENERGY CENTER,8124 W HWY 61,SCHROEDER,COOK,MN,55613,ALLETE INC,ALLETE INC,221112
47.52983,-92.16194,LASKIN ENERGY CENTER,5699 COLBY LAKE RD,HOYT LAKES,ST LOUIS,MN,55750,ALLETE INC,ALLETE INC,221112
47.2612,-93.653,BOSWELL ENERGY CENTER,1210 NW 3RD ST,COHASSET,ITASCA,MN,55721,ALLETE INC,ALLETE INC,221112
47.429087,-92.935269,HIBBING PUBLIC UTILITIES COMMISSION,1832 6TH AVE E,HIBBING,ST LOUIS,MN,55746,NA,NA,221112
47.52103,-92.54146,VIRGINIA PUBLIC UTILITIES,618 2ND ST S,VIRGINIA,ST LOUIS,MN,55792,NA,NA,221112
44.02765,-92.45997,ROCHESTER PUBLIC UTILITIES SILVER LAKE PLANT,425 W SILVER LAKE DR NE,ROCHESTER,OLMSTED,MN,55906,ROCHESTER PUBLIC UTILITIES,ROCHESTER PUBLIC UTILITIES,221112
43.70721,-92.96105,AUSTIN UTILITIES NORTHEAST POW ER STATION,3511 11TH ST NE,AUSTIN,MOWER,MN,55912,NA,,221112
